screenId,summary
35567,display of help guide options for a shopping app
35567,page displaying with different options to know about the application
35567,page of an e-commerce website
35567,page showing list of helping options in app
35567,screen displaying multiple help options in a shopping application
25675,notification displaying various options
25675,page displaying options in remote control app
25675,page displaying options in remote control application
25675,page showing different options of app
25675,screen displaying demo mode page
32435,display of furniture in a shopping app
32435,page displaying the product and price in a shopping app
32435,page showing furniture details on a shopping app
32435,screen displaying about shopping application
32435,screen displaying the product in a shopping app
31452,app page contains keypad with display
31452,display of screen shows a keypad
31452,displaying various keys in keypad page
31452,home screen displaying about keypad
31452,page displaying keypad
23608,page displaying accounts
23608,page displaying an add icon in the application
23608,page displaying the accounts
23608,page displaying the status of the records
23608,screen displaying contents in accounts page of a financial application
29876,page displaying favorites page
29876,page displaying our liked events and places
29876,page displaying to add favorites list
29876,page showing for favorite events and places
29876,screen displaying multiple icons and content in favorites page
25872,sign in page of a social app
25872,sign in page
25872,sign in page
25872,sign in page with social application
25872,welcome page for an online messaging application
1264,page displaying different workout options to set
1264,page displaying to start exercise
1264,page displaying to start workout
1264,pop-up displaying about body work outs
1264,timer and different features of a fitness app are displaying
30084,display of live events page
30084,display showing no events found
30084,live page displaying empty events
30084,live votings event page
30084,page displaying live voting events
21141,login page of a transportation application
21141,page requesting to register on a riding app
21141,sign in page displayed of a travel bookings app
21141,sign in page of an commute app
21141,sign-in page of a travelling application
34025,page displaying flights information
34025,page displaying information about flights for travelling application
34025,page of a flight booking website
34025,screen displaying about flights details
34025,screen displaying option economy flight ticket booking
35858,display showing could n't find any tv guide results
35858,empty page being displayed in the app
35858,page displaying about search bar for shows
35858,page displaying search options for tv guides
35858,screen displaying the tv guide page which has no result
1304,choosing service provider by entering postal code
1304,page asking to choose service provider
1304,page asking united states postal code option
1304,page displaying about service provider
1304,page showing enter 5-digit u.s.postal code
27392,page displaying the list of contact setting options
27392,page displaying various filter options of a calling app
27392,screen display contact filter options in call app
27392,screen displaying list of callers for filtering
27392,screen page displaying various options to select in settings application
19821,page displaying blank information about favorites
19821,page displaying data status
19821,page displaying no data under favorites
19821,screen displaying favorites page
19821,screen displaying favorites page
35604,display of screen shows a menu translator
35604,screen displaying information about a language translation application
35604,screen displaying the page of a translator app
35604,screen showing page of an translator application
35604,welcome page for a translation app
15050,pop up displaying to accept conditions
15050,pop-up for accepting the conditions of the application
15050,pop-up showing authorization step to continue with the app
15050,popup displaying terms and conditions information
15050,popup displaying terms and conditions information
11337,change log page consists of some information
11337,display of screen shows latest version
11337,display of version details for an app
11337,page displaying description about an app
11337,screen displaying about the version
13434,introductory page of a website
13434,page showing login credentials on app
13434,pop-up asking to enter details for sign in
13434,popup displaying user information and contents in sign up page
13434,sign in page of a social app
27375,page displaying different setting options with social accounts to connect
27375,page displaying settings
27375,page displaying with list of different settings with different aspects
27375,screen displaying multiple social icons in settings page
27375,screen showing social accounts
27504,display of screen shows back trips
27504,page displaying the ticket details
27504,page displaying to book seats of an traveler application
27504,reservation details for a date are displaying
27504,screen is showing back trip with reserve seat in application
15394,display of screen shows pocket auctions
15394,page showing an item details in shopping app
15394,screen displaying details of a product
15394,screen displaying product details with price
15394,screen page displaying the details of product in shopping application
23808,multiple options of an settings menu
23808,page displaying settings options
23808,page showing settings
23808,screen displaying multiple setting options
23808,screen displaying the options in settings tab
11560,log in page displayed
11560,login page
11560,login page
11560,login page
11560,page displaying to enter login credentials
34848,pop-up displaying options to clear list
34848,pop-up displaying with options to clear list
34848,pop-up displays to clear a list
34848,pop-up showing clear list options
34848,pop-up with options to clear list
34509,page displaying a profile with other options in social application
34509,page displaying profile information in trading app
34509,page displaying profile of the pet
34509,profile page
34509,screen is showing user profile page
35178,blank page displaying in fitness app
35178,display of search page in a fitness app
35178,page displaying no result found
35178,page displaying the status of search results in fitness application
35178,search page showing no results found
11632,options are displaying in change face
11632,page displaying a selected option
11632,page displaying list of face changing information
11632,screen displaying multiple wallpaper options with names
11632,various editing options displayed
16335,display of screen shows a dial pad
16335,page displaying dial pad
16335,page displaying dialer keypad information
16335,page displaying numbers
16335,page with numbers and options to make a call
20703,notification to accept gps license in gps app
20703,page displaying app license to accept/reject
20703,pop up to accept terms and conditions
20703,pop-up displaying the license notification
20703,pop-up displaying with agreement page of the application
22299,display of a page showing of hotel booking app
22299,display of options in a gaming app
22299,page displaying various options about an hotel
22299,pop up displaying multiple options
22299,screen displaying the list of categories
18227,app page with app instructions and free trail option
18227,display page showing of statement for social media app
18227,introductory page
18227,tutorial page
